"restaurant_name","cnt","avg_rating","avg_price","avg_delivery_time"
"Pride Delicious",1,4.5,100.0,27.0
"Puneri Wada Pav",1,4.5,50.0,17.0
"Pure Eats",1,4.5,100.0,33.0
"Chitale Xpress",1,4.5,50.0,27.0
"Choudhary Namkeen",1,4.5,50.0,30.0
"Churrolto",1,4.5,150.0,62.0
"Classic 44",1,4.5,100.0,19.0
"Classic Sweets",1,4.5,200.0,20.0
"Coconut Juice Bar",1,4.5,350.0,20.0
"Coffee N Cream",1,4.5,150.0,43.0
"Coffee Stand",1,4.5,100.0,24.0
"Country Made Grills & Fries",2,4.5,250.0,29.5
"Cream & More",1,4.5,150.0,20.0
"Crifles",1,4.5,200.0,33.0
"Crush Coffee",1,4.5,250.0,40.0
"C'sons - Kafe",1,4.5,150.0,23.0
"Cumulus Kitchen",1,4.5,200.0,37.0
"Dadu's Sweet Emporio",1,4.5,200.0,28.0
"Daniel Pâtissier",1,4.5,250.0,42.0
"Deepak Juice & Fast Food",1,4.5,50.0,14.0
"Deliciae By Bunty Mahajan",1,4.5,100.0,35.0
"Deliver My Ice-Cream",1,4.5,350.0,14.0
"Desi Express",1,4.5,350.0,30.0
"Desserts By Pihu",1,4.5,150.0,21.0
"Dhaba Delight",1,4.5,100.0,37.0
"Dhamija's Kitchen",1,4.5,250.0,42.0
"Dharmnandan Live Puff House",1,4.5,200.0,41.0
"Didi Ko Momo",1,4.5,100.0,19.0
"Dinshaw's Ice Cream Parlour",1,4.5,100.0,16.0
"DK Roll Chowmein Centre",1,4.5,200.0,49.0
"Dumont",1,4.5,250.0,18.0
"Eagle Factory Outlet",1,4.5,50.0,15.0
"EatAlley Cafe",1,4.5,100.0,32.0
"EFC",1,4.5,100.0,27.0
"Eggivorous",1,4.5,200.0,53.0
"Emerald Mithai Shop",1,4.5,150.0,39.0
"Empire Juices and Desserts",1,4.5,150.0,25.0
"Fakhri Faluda Centre",1,4.5,50.0,26.0
"Flavours Restaurant",1,4.5,50.0,32.0
"Food Mahol",1,4.5,50.0,37.0
"Foodie Buddies",1,4.5,100.0,19.0
"0265 Burgers & Pizzas",1,4.5,150.0,24.0
"15 A.D.",1,4.5,150.0,22.0
"3 Star Bakery",1,4.5,150.0,37.0
"A Taste Of Home",1,4.5,200.0,43.0
"Aashapura Dabeli",1,4.5,100.0,32.0
"Abcos Food Plaza",1,4.5,250.0,50.0
"Abhiruchi Swaghruha Foods",1,4.5,350.0,48.0
"Ajanta",1,4.5,100.0,19.0
"Ajanta Cold Drinks And Ice Creams",1,4.5,150.0,22.0
"Akhtar's Samosa",1,4.5,100.0,30.0
"Akss - India Reimagined",1,4.5,500.0,37.0
"Al Lazeez Shawarma",1,4.5,150.0,31.0
"All Day Breakfast Company",1,4.5,100.0,48.0
"Amadora Gourmet Ice Cream & Sorbet",1,4.5,250.0,36.0
"Ambica Dalvada And Khiru",1,4.5,150.0,33.0
"Ambi's Kitchen",1,4.5,150.0,31.0
"Ami Kolkata Express",1,4.5,150.0,61.0
"Amour Bistro",1,4.5,200.0,30.0
"Amrit Mattha",1,4.5,200.0,20.0
"Amy's Cloud Kitchen",1,4.5,150.0,36.0
"Anand Rasoi",1,4.5,250.0,37.0
"Angle Cake Shop",1,4.5,100.0,26.0
"Anmol Family Veg Restaurant",1,4.5,150.0,31.0
"Anu's Cake Creation",1,4.5,250.0,19.0
"Arihant's Naturals Ice Cream",1,4.5,100.0,16.0
"Arogya Idlis",1,4.5,150.0,22.0
"Artiste Handcrafted Ice Cream",1,4.5,100.0,28.0
"Asha Food Camp",1,4.5,350.0,38.0
"Ashok Coconut Sharbad",1,4.5,150.0,26.0
"Ashok Sweets & Namkeen",1,4.5,100.0,35.0
"Ashwin's Sweet & Snacks",1,4.5,100.0,24.0
"Baburao Bhel House",1,4.5,100.0,12.0
"Badri Icecream & Colddrinks",1,4.5,100.0,35.0
"Baked It- By The Glass Box",1,4.5,100.0,31.0
"Bakers Village",1,4.5,250.0,23.0
"Balubhai's Khaman",1,4.5,100.0,19.0
"Banarasi Paan Mandir",1,4.5,200.0,25.0
"Bangla Pastry Shop",1,4.5,150.0,11.0
"Barbecue",1,4.5,100.0,22.0
"Barometer",1,4.5,100.0,36.0
"Beles Ashok Dugdhalaya",1,4.5,150.0,38.0
"Belly's Thick Shake",1,4.5,150.0,24.0
"Bhagat Kachori Samosa",1,4.5,100.0,28.0
"Biryani Bank",1,4.5,200.0,28.0
"BNB",1,4.5,300.0,31.0
"Bombat Buns",1,4.5,250.0,36.0
"Bombay Sweet Shop",1,4.5,200.0,31.0
"Bond Lee Cafe",1,4.5,50.0,35.0
"Boxed Raipur",1,4.5,150.0,32.0
"Brew Hub - All That's Coffee",1,4.5,250.0,26.0
"Bubblittle",1,4.5,50.0,33.0
"Budhani Snacks",1,4.5,150.0,26.0
"Buland Omelette Point",1,4.5,150.0,27.0
"Bumiya Milk Suppliers",1,4.5,50.0,16.0
"Burhanpur Jalebi & Juice Center",1,4.5,100.0,19.0
"Burhanpur Jalebi Center",1,4.5,200.0,26.0
"C4H - Coconut For Health",1,4.5,100.0,29.0
"Caara At Ogaan",1,4.5,550.0,41.0
"Cafe Fresh Verde",1,4.5,50.0,32.0
"Cafe India",1,4.5,100.0,38.0
"Cafe J2B",1,4.5,150.0,41.0
"Cake Dior",1,4.5,350.0,29.0
"Cake Max",1,4.5,200.0,46.0
"Canteen 18",1,4.5,150.0,43.0
"Chaina Ram Sindhi Confectioners",2,4.5,55.0,56.5
"Chandu Chinese Food Centre",1,4.5,300.0,31.0
"Chappan Bhog",1,4.5,350.0,16.0
"Chaurasia Paan Studio",1,4.5,350.0,26.0
"Chaurasia Pan Parlour",2,4.5,150.0,19.0
"Chhatwal Ice Cream",1,4.5,300.0,24.0
"Chicken Dinner",1,4.5,150.0,49.0
"Natural Ice Cream",25,4.492000007629395,154.0,19.36
"Grameen Kulfi",65,4.489230761161218,165.3846,22.9385
"Mumbai Kulfi",4,4.475000023841858,137.5,21.0
"Kudrati Kahumbo",4,4.450000166893005,212.5,26.25
"MOJO Pizza - 2X Toppings",2,4.450000047683716,325.0,27.5
"Good Flippin' Burgers",2,4.450000047683716,225.0,46.5
"Hive Honey Cake",2,4.450000047683716,150.0,18.5
"NH1 Bowls - Highway To North",2,4.450000047683716,150.0,27.5
"Relish",2,4.450000047683716,200.0,43.0
"Bhanji Bhai",2,4.450000047683716,125.0,24.5
"BOX8 - Desi Meals",2,4.450000047683716,125.0,27.5
"Arun Ice Creams",4,4.449999928474426,125.0,28.25
"NIC Ice Creams",62,4.448387122923328,145.9677,20.8065
"Chhaswala",7,4.442857129233224,121.4286,26.7143
"Amul Ice Cream",3,4.433333396911621,133.3333,26.0
"Mama Mia!",3,4.433333237965901,233.3333,26.0
"Cheesecake & Co.",7,4.428571496691022,221.4286,28.4286
"Bharani Bhavan",1,4.400000095367432,100.0,34.0
"Bharathi Mess",1,4.400000095367432,100.0,40.0
"Bhaskar Lassi Stall",1,4.400000095367432,100.0,26.0
"Bhikharam Chandmal Rajuji",1,4.400000095367432,100.0,23.0
"Bhola Maharaj",1,4.400000095367432,100.0,13.0
"Big Belly Deli",1,4.400000095367432,250.0,36.0
