"restaurant_name","cnt","rating"
"AG Ice Cream Parlour",1,4.0
"AGA Heritage Club",1,4.1
"AGAA Heritage",1,4.0
"Agadbam",1,3.3
"Agam Bakers",1,3.6
"Agarwal Bakers",1,3.1
"Agarwal Bakery",1,3.4
"Agarwal Bhel And Chat",1,3.6
"Agarwal Bhojnalya-Hathras wale",1,3.8
"Agarwal Cake House",1,3.9
"Agarwal Caterers",1,4.4
"Agarwal Chaat Corner",1,4.4
"Agarwal Chat Bhandhar",1,4.1
"Agarwal Fast Food Parlour",1,3.9
"Agarwal Fast Food Pure Veg",1,4.0
"Agarwal Food Court",1,3.9
"Agarwal Mithai Bhandar",1,4.3
"Agarwal Namkeen Bhandar",1,3.9
"Agarwal Restaurant Sweets And Dairy",1,3.8
"Agarwal Snacks",1,3.3
"Agarwal Sweet & Snacks",1,3.9
"Agarwal Sweet Palace",1,4.3
"Agarwal Sweets & Dairy",1,4.0
"Agarwal's Kulfi N Roll",1,4.1
"Agarwal's Pav Bhaji",1,4.2
"Agarwals The Sweet Shop",1,3.8
"Aggarwal",1,3.8
"Aggarwal Fast Food",1,3.5
"Aggarwal Hotel",1,3.2
"Aggarwal Sweets",3,4.0
"Aggarwal Sweets",3,4.1
"Aggarwal Sweets",3,4.4
"Aggarwal Vaishno Dhaba",1,4.1
"Aggarwal Vaishnu Dhaba",1,3.5
"Agra Biryani Hotspot",1,3.9
"Agra Chat Bhandar",1,4.0
"Agra Chat Cafe",1,3.5
"Agra Fast Food And Restaurant",1,3.8
"Agra Jain Jalebi Bhandar",1,4.2
"Agra Misthan Bhandar",1,3.9
"Agra Mithai Ghar & Restaurant",1,4.2
"Agra Restaurant",1,4.0
"Agra Sweet House",1,4.2
"Agra Sweets",1,4.4
"Agra Vala Sweets",1,4.4
"Agrawal Brothers Frankie",1,4.3
"Agrawal Chat Bhandar",1,4.1
"Agrawal Dalwada House",1,3.8
"Agrawal Ji Ke Parathe",1,3.6
"Agrawal Lalaji Ghantewale",1,4.1
"Agrawal Petha Bhandar",1,4.0
"Agrawal 's Fast Food And Snacks",1,4.2
"Agrawal Sweets",1,3.8
"Agrawal Sweets And Restaurant",1,3.9
"Agrawal's Kitchen",1,4.1
"Agrawal's Rajbhog",1,4.0
"Agrawal's Resturant",1,3.6
"Agrawat Sweets",1,3.1
"Agya Singh's Dhaba",1,4.3
"Aha Biryanis",1,4.0
"Aha Spice",1,4.2
"Ahaa Restaurant",1,3.6
"Ahalan Mandi",1,3.9
"Ahar Vaishno Dhaba",1,3.2
"Aharam",1,4.1
"Aharam Foods Private Limited",1,4.1
"Ahare 8 Khana",1,4.0
"Ahhaa! Prayagi",1,2.9
"Ahling",1,4.3
"Ahmad Raza Star Family Restaurant",1,4.3
"Ahmedabad Chicken Biryani",1,3.4
"Ahmedi Hotel",1,3.9
"Aho Punjab",1,3.9
"Ahoban Food Corner",1,4.0
"Ahuja Chana Bhatura",2,4.1
"Ahuja Chana Bhatura",2,4.3
"Ahuja Indian & Chinese Food Court",1,3.8
"Ahuja Proteins",1,4.1
"Ahuja Refreshment Center",1,3.9
"Ahuja Vegetarian Restaurant",1,3.6
"Ahuja's Kitchen",1,4.0
"Ahuja's Sweets & Dairy",1,4.1
"Aibaik",2,3.7
"Aibaik",2,3.9
"Aieroc Resto Cafe",1,4.0
"Aifa's Biriyani",1,3.2
"AIP - India's Burger",2,3.5
"AIP - India's Burger",2,3.7
"Air Flow Pizza",1,4.0
"Air Lounge",1,3.8
"Air On Wheels",1,4.1
"Airbus",1,4.3
"Airport Bawarchi Restaurant",1,4.3
"Aiswarya Fresh Juice",1,4.2
"Aithey Biryani Restaurant",1,3.9
"Aizam Biryani Hub",1,3.7
"Aizam's Food Treasure",1,4.0
"AJ Cafe 91",1,3.8
"Aj Drive In",1,4.1
"AJ Fast Food And Restaurant",1,4.4
"AJ Fresh Food",1,4.0
"AJ Snacks",1,4.0
"Aja- Honestly Good Food",1,4.3
"Ajab Gajab Chat Bhandar",1,3.6
"Ajanta",1,4.5
"Ajanta Cafe & Restro",1,3.9
"Ajanta Cold Drinks And Ice Creams",1,4.5
"Ajanta Hotel",1,3.9
"Ajanta Sweets And Bakes",1,4.4
"Ajay Chicken Center",1,4.0
