"restaurant_name","rating","average_price","average_delivery_time","south_indian_or_not","north_indian_or_not","fast_food_or_not","street_food","biryani_or_not","bakery_or_not","location","cnt"
"7/12 Fried Ice Cream Parlour",3.0,100,61,0,0,1,0,0,0,"Kolkata",1
"70 Percent Diet",4.4,150,37,0,0,0,0,0,0,"Dehradun",1
"70 Percent Restro Cafe",4.3,250,42,0,1,1,1,0,0,"Dehradun",1
"78 Degrees Cafe & Restro",3.6,150,40,0,1,1,0,0,0,"Bhopal",1
"78 Singh",3.9,200,29,0,1,1,1,0,0,"Jaipur",1
"786 Biryani",4.1,350,17,0,0,0,0,1,0,"Vijayawada",1
"786 Chicken & Biryani Center Chacha Ki Dukan",3.8,150,19,0,0,0,1,1,0,"Raipur",1
"7th Cloud Restaurant",4.2,300,45,0,1,1,0,1,0,"Indore",1
"7th Heaven",3.3,100,25,0,0,1,0,0,1,"Jalandhar",24
"7th Heaven",3.3,200,49,0,0,0,0,0,1,"Motihari",24
"7th Heaven",3.4,150,29,0,0,0,0,0,1,"Raipur",24
"7th Heaven",3.4,300,36,0,0,1,0,0,1,"Darbhanga",24
"7th Heaven",3.6,300,16,0,0,0,0,0,1,"Mumbai",24
"7th Heaven",3.7,100,14,0,0,0,0,0,1,"Rajkot",24
"7th Heaven",3.7,200,22,0,0,1,0,0,1,"Amritsar",24
"7th Heaven",3.8,200,18,0,0,1,0,0,1,"Jhansi",24
"7th Heaven",3.8,200,37,0,0,0,0,0,1,"Patna",24
"7th Heaven",3.9,50,40,0,0,0,0,0,1,"Darbhanga",24
"7th Heaven",3.9,100,24,0,0,1,0,0,0,"Firozabad",24
"7th Heaven",3.9,250,39,0,0,0,0,0,1,"Siliguri",24
"7th Heaven",4.0,100,21,0,0,0,0,0,1,"Vijayawada",24
"7th Heaven",4.0,100,36,0,0,1,0,0,0,"Haridwar",24
"7th Heaven",4.0,200,44,0,0,1,0,0,1,"Kolkata",24
"7th Heaven",4.1,50,33,0,0,0,0,0,1,"Jamshedpur",24
"7th Heaven",4.1,150,41,0,0,1,0,0,1,"Ludhiana",24
"7th Heaven",4.2,100,29,0,0,0,0,0,1,"Lucknow",24
"7th Heaven",4.2,200,24,0,0,0,0,0,1,"Bareilly",24
"7th Heaven",4.2,200,31,0,0,1,0,0,1,"Varanasi",24
"7th Heaven",4.2,250,19,0,0,1,0,0,1,"Patna",24
"7th Heaven",4.3,150,19,0,0,0,0,0,1,"Cuttack",24
"7th Heaven",4.3,150,34,0,0,0,0,0,1,"Jhansi",24
"7th Heaven",4.3,300,23,0,0,0,0,0,1,"Manipal",24
"7th Heaven - A Slice of Happiness",4.0,100,37,0,0,0,0,0,0,"Mangalore",3
"7th Heaven - A Slice of Happiness",4.3,200,31,0,0,1,0,0,1,"Manipal",3
"7th Heaven - A Slice of Happiness",4.4,100,38,0,0,0,0,0,1,"Mangalore",3
"7th Heaven Bakery",4.3,150,24,0,0,1,0,0,1,"Visakhapatnam",1
"7th Heaven Cafe",3.9,150,23,0,0,1,0,0,1,"Jhansi",1
"7th Heaven Cafe & Lounge",3.4,100,35,0,0,1,0,0,0,"Jhansi",1
"7th Heaven Cake Shop",4.2,200,31,0,0,1,0,0,1,"Coimbatore",3
"7th Heaven Cake Shop",4.2,200,43,0,0,0,0,0,1,"Pune",3
"7th Heaven Cake Shop",4.3,400,32,0,0,0,0,0,1,"Patna",3
"7th Heaven Restaurant",3.0,200,33,0,1,1,1,0,0,"Gaya",1
"7th Heaven Slice Of Happiness",4.3,100,31,0,0,1,0,0,1,"Mangalore",1
"7th Heaven-Derebail",4.0,100,30,0,0,1,0,0,1,"Mangalore",1
"7th Sky",3.7,150,42,0,0,0,0,0,1,"Patna",1
"7ven 11ven Restaurant",4.3,250,27,0,1,1,0,1,0,"Chandigarh",1
"8 Momoz",4.1,200,29,0,1,1,0,0,0,"Dehradun",1
"8 The Pizza Stone",4.3,150,41,0,1,1,0,1,0,"Ahmedabad",1
"80N Restaurant",3.6,100,42,1,1,1,1,0,0,"Jaipur",1
"812 CE - Courtyard By Marriott",3.9,150,42,1,1,0,0,0,0,"Vadodara",1
"87 Cafe & Resto",3.4,100,47,1,1,1,1,1,0,"Patna",1
"89 Mint Leaf",4.2,200,35,0,1,0,0,1,0,"Lucknow",1
"8th Day Cafe & Bakery",4.4,100,42,0,0,0,0,0,1,"Kolkata",2
"8th Day Cafe & Bakery",4.4,200,57,0,0,0,0,0,1,"Kolkata",2
"9 Coins Cafe",4.0,100,35,0,0,1,0,0,0,"Meerut",1
"9 PM Cafe",3.4,100,52,0,1,0,0,0,0,"Kanpur",1
"9 Shine",4.3,200,27,0,0,1,0,0,0,"Jalandhar",1
"9 Street Pizza",3.8,150,31,0,0,0,0,0,0,"Gorakhpur",1
"9 Tea's Cafe",3.5,150,28,0,0,1,1,0,0,"Allahabad",1
"9 To 9 Biryani & Street Food",4.2,250,28,0,1,0,0,1,0,"Patna",1
"90's Cafe",4.2,100,32,0,0,1,0,0,0,"Salem",1
"90's Memories",3.8,40,38,0,0,0,0,0,0,"Salem",1
"90's Restaurant",4.0,350,21,0,0,0,0,1,0,"Vijayawada",1
"90's Restro",3.8,100,40,1,1,1,0,0,0,"Jodhpur",1
"91 Kitchen",3.9,100,38,0,1,1,0,0,0,"Surat",1
"9834 The Fruit Truck",4.1,200,21,0,0,0,0,0,0,"Ahmedabad",2
"9834 The Fruit Truck",4.5,150,17,0,0,0,0,0,0,"Rajkot",2
"9834 The Fruit Window",4.2,100,15,0,0,0,0,0,0,"Bhavnagar",1
"99 Biryani.Com",3.6,100,24,0,0,0,0,1,0,"Nagpur",1
"99 Cakes",4.3,250,21,0,0,0,0,0,0,"Mumbai",1
"99 Cakes & Bakers",4.0,100,25,0,0,0,0,0,1,"Bhavnagar",1
"99 Chickens",4.3,150,42,0,1,1,0,0,0,"Varanasi",1
"99 Crispy Bazar",4.0,200,35,0,0,1,0,0,0,"Cuttack",1
"99 Dosa D'lite & Chaat Point",3.5,50,38,1,1,0,1,0,0,"Gonda",1
"99 Foodie Adda",4.0,50,27,0,0,0,1,0,0,"Bikaner",1
"99 Only",3.8,200,38,0,1,0,0,0,0,"Guwahati",1
"99 Pancakes",4.0,150,32,0,0,0,0,0,1,"Indore",10
"99 Pancakes",4.2,100,23,0,0,0,0,0,1,"Mumbai",10
"99 Pancakes",4.2,100,41,0,0,0,0,0,1,"Hyderabad",10
"99 Pancakes",4.2,200,27,0,0,0,0,0,1,"Raipur",10
"99 Pancakes",4.2,200,33,0,0,0,0,0,1,"Surat",10
"99 Pancakes",4.3,150,33,0,0,0,0,0,1,"Nashik",10
"99 Pancakes",4.3,200,20,0,0,0,0,0,1,"Kolhapur",10
"99 Pancakes",4.3,200,23,0,0,0,0,0,1,"Allahabad",10
"99 Pancakes",4.5,100,38,0,0,0,0,0,1,"Jabalpur",10
"99 Pancakes",4.5,200,34,0,0,1,0,0,0,"Varanasi",10
"99 Pizza",3.7,100,39,0,0,0,1,0,0,"Mangalore",2
"99 Pizza",3.9,200,37,0,0,0,0,0,0,"Vellore",2
"99 Pizza And More",3.8,150,48,0,0,1,0,0,0,"Indore",1
